time,cores,delays,MA,max
0,324526,0,,324526.0
100,324526,0,,324526.0
200,324526,0,,324526.0
300,324512,0,,324443.2
400,324512,0,,324443.2
500,324512,0,,324443.2
600,324312,0,,324399.2
700,324312,0,,324399.2
800,324312,0,,324399.2
900,324092,58,324414.2,324352.4
1000,324092,0,324370.8,324352.4
1100,324092,0,324327.4,324352.4
1200,324173,0,324292.1,324316.0
1300,324173,0,324258.2,324316.0
1400,324173,0,324224.3,324316.0
1500,323488,52,324121.9,324110.8
1600,323488,0,324039.5,324110.8
1700,323488,0,323957.1,324110.8
1800,323485,0,323874.4,324038.8
1900,323485,0,323813.7,324038.8
2000,323485,0,323753.0,324038.8
2100,323491,0,323692.9,323996.8
2200,323491,0,323624.7,323996.8
2300,323491,0,323556.5,323996.8
2400,323488,0,323488.0,323996.8
2500,323488,0,323488.0,323996.8
2600,323488,0,323488.0,323996.8
2700,323418,0,323481.0,323996.8
2800,323418,0,323474.3,323996.8
2900,323418,0,323467.6,323996.8
3000,323477,0,323466.8,323996.8
3100,323477,0,323465.4,323996.8
3200,323477,0,323464.0,323996.8
3300,323401,0,323455.0,323996.8
3400,323401,0,323446.3,323996.8
3500,323401,0,323437.6,323996.8
3600,323465,0,323435.3,323996.8
3700,323465,0,323440.0,323996.8
3800,323465,0,323444.7,323996.8
3900,323171,0,323420.0,323901.6
4000,323171,0,323389.4,323901.6
4100,323171,0,323358.8,323901.6
4200,323061,0,323317.2,323899.2
4300,323061,0,323283.2,323899.2
4400,323061,0,323249.2,323899.2
4500,322952,0,323204.3,323841.2
4600,322952,0,323153.0,323841.2
4700,322952,0,323101.7,323841.2
4800,322989,0,323054.1,323829.6
4900,322989,0,323035.9,323829.6
5000,322989,0,323017.7,323829.6
5100,322985,0,322999.1,323829.6
5200,322985,0,322991.5,323829.6
5300,322985,0,322983.9,323829.6
5400,323386,0,323016.4,323818.8
5500,323386,0,323059.8,323818.8
5600,323386,0,323103.2,323818.8
5700,323576,0,323165.6,323818.8
5800,323576,0,323224.3,323818.8
5900,323576,0,323283.0,323818.8
6000,323584,0,323342.5,323818.8
6100,323584,0,323402.4,323818.8
6200,323584,0,323462.3,323818.8
6300,323582,0,323522.0,323818.8
6400,323582,0,323541.6,323818.8
6500,323582,0,323561.2,323818.8
6600,323620,0,323584.6,323818.8
6700,323620,0,323589.0,323818.8
6800,323620,0,323593.4,323818.8
6900,323492,0,323585.0,323818.8
7000,323492,0,323575.8,323818.8
7100,323492,0,323566.6,323818.8
7200,323478,0,323556.0,323818.8
7300,323478,0,323545.6,323818.8
7400,323478,0,323535.2,323818.8
7500,323309,0,323507.9,323818.8
7600,323309,0,323476.8,323818.8
7700,323309,0,323445.7,323818.8
7800,323037,0,323387.4,323818.8
7900,323037,0,323341.9,323818.8
8000,323037,0,323296.4,323818.8
8100,322617,0,323208.9,323718.4
8200,322617,0,323122.8,323718.4
8300,322617,0,323036.7,323718.4
8400,323045,0,322993.4,323705.2
8500,323045,0,322967.0,323705.2
8600,323045,0,322940.6,323705.2
8700,323120,0,322921.7,323705.2
8800,323120,0,322930.0,323705.2
8900,323120,0,322938.3,323705.2
9000,323516,0,322986.2,323705.2
9100,323516,0,323076.1,323705.2
9200,323516,0,323166.0,323705.2
9300,323774,0,323281.7,323705.2
9400,323774,0,323354.6,323705.2
9500,323774,0,323427.5,323705.2
9600,323513,0,323474.3,323705.2
9700,323513,0,323513.6,323705.2
9800,323513,0,323552.9,323705.2
9900,323563,0,323597.2,323705.2
