time,cores,delays,MA,max
0,324526,0,,324526.0
100,324526,0,,324526.0
200,324526,0,,324526.0
300,324512,0,,324463.9
400,324512,0,,324463.9
500,324512,0,,324463.9
600,324312,0,,324430.9
700,324312,0,,324430.9
800,324312,0,,324430.9
900,324092,58,324414.2,324395.8
1000,324092,0,324370.8,324395.8
1100,324092,0,324327.4,324395.8
1200,324173,0,324292.1,324368.5
1300,324173,0,324258.2,324368.5
1400,324173,0,324224.3,324368.5
1500,323584,0,324131.5,324214.6
1600,323584,0,324058.7,324214.6
1700,323584,0,323985.9,324214.6
1800,323475,0,323902.2,324157.6
1900,323475,0,323840.5,324157.6
2000,323475,0,323778.8,324157.6
2100,323463,0,323715.9,324120.7
2200,323463,0,323644.9,324120.7
2300,323463,0,323573.9,324120.7
2400,323488,0,323505.4,324120.7
2500,323488,0,323495.8,324120.7
2600,323488,0,323486.2,324120.7
2700,323406,0,323468.4,324120.7
2800,323406,0,323461.5,324120.7
2900,323406,0,323454.6,324120.7
3000,323466,0,323453.7,324120.7
3100,323466,0,323454.0,324120.7
3200,323466,0,323454.3,324120.7
3300,323400,0,323448.0,324120.7
3400,323400,0,323439.2,324120.7
3500,323400,0,323430.4,324120.7
3600,323463,0,323427.9,324120.7
3700,323463,0,323433.6,324120.7
3800,323463,0,323439.3,324120.7
3900,323166,0,323415.3,324056.2
4000,323166,0,323385.3,324056.2
4100,323166,0,323355.3,324056.2
4200,323060,0,323314.7,324055.6
4300,323060,0,323280.7,324055.6
4400,323060,0,323246.7,324055.6
4500,322952,0,323201.9,324012.4
4600,322952,0,323150.8,324012.4
4700,322952,0,323099.7,324012.4
4800,322989,0,323052.3,324003.7
4900,322989,0,323034.6,324003.7
5000,322989,0,323016.9,324003.7
5100,322985,0,322998.8,324003.7
5200,322985,0,322991.3,324003.7
5300,322985,0,322983.8,324003.7
5400,323386,0,323016.4,323995.6
5500,323386,0,323059.8,323995.6
5600,323386,0,323103.2,323995.6
5700,323576,0,323165.6,323995.6
5800,323576,0,323224.3,323995.6
5900,323576,0,323283.0,323995.6
6000,323584,0,323342.5,323995.6
6100,323584,0,323402.4,323995.6
6200,323584,0,323462.3,323995.6
6300,323582,0,323522.0,323995.6
6400,323582,0,323541.6,323995.6
6500,323582,0,323561.2,323995.6
6600,323619,0,323584.5,323995.6
6700,323619,0,323588.8,323995.6
6800,323619,0,323593.1,323995.6
6900,323492,0,323584.7,323995.6
7000,323492,0,323575.5,323995.6
7100,323492,0,323566.3,323995.6
7200,323478,0,323555.7,323995.6
7300,323478,0,323545.3,323995.6
7400,323478,0,323534.9,323995.6
7500,323308,0,323507.5,323995.6
7600,323308,0,323476.4,323995.6
7700,323308,0,323445.3,323995.6
7800,323037,0,323387.1,323995.6
7900,323037,0,323341.6,323995.6
8000,323037,0,323296.1,323995.6
8100,322617,0,323208.6,323920.3
8200,322617,0,323122.5,323920.3
8300,322617,0,323036.4,323920.3
8400,323045,0,322993.1,323910.4
8500,323045,0,322966.8,323910.4
8600,323045,0,322940.5,323910.4
8700,323120,0,322921.7,323910.4
8800,323120,0,322930.0,323910.4
8900,323120,0,322938.3,323910.4
9000,323516,0,322986.2,323910.4
9100,323516,0,323076.1,323910.4
9200,323516,0,323166.0,323910.4
9300,323774,0,323281.7,323910.4
9400,323774,0,323354.6,323910.4
9500,323774,0,323427.5,323910.4
9600,323513,0,323474.3,323910.4
9700,323513,0,323513.6,323910.4
9800,323513,0,323552.9,323910.4
9900,323561,0,323597.0,323910.4
