time,cores,delays,MA,max
0,324526,0,,324526.0
100,324526,0,,324526.0
200,324526,0,,324526.0
300,324512,0,,324505.3
400,324512,0,,324505.3
500,324512,0,,324505.3
600,324312,0,,324494.3
700,324312,0,,324494.3
800,324312,0,,324494.3
900,324241,0,324429.1,324482.6
1000,324241,0,324400.6,324482.6
1100,324241,0,324372.1,324482.6
1200,324169,0,324336.4,324473.1
1300,324169,0,324302.1,324473.1
1400,324169,0,324267.8,324473.1
1500,323575,0,324174.1,324421.3
1600,323575,0,324100.4,324421.3
1700,323575,0,324026.7,324421.3
1800,323465,0,323942.0,324402.2
1900,323465,0,323864.4,324402.2
2000,323465,0,323786.8,324402.2
2100,323455,0,323708.2,324390.1
2200,323455,0,323636.8,324390.1
2300,323455,0,323565.4,324390.1
2400,323483,0,323496.8,324390.1
2500,323483,0,323487.6,324390.1
2600,323483,0,323478.4,324390.1
2700,323400,0,323460.9,324390.1
2800,323400,0,323454.4,324390.1
2900,323400,0,323447.9,324390.1
3000,323466,0,323448.0,324390.1
3100,323466,0,323449.1,324390.1
3200,323466,0,323450.2,324390.1
3300,323400,0,323444.7,324390.1
3400,323400,0,323436.4,324390.1
3500,323400,0,323428.1,324390.1
3600,323459,0,323425.7,324390.1
3700,323459,0,323431.6,324390.1
3800,323459,0,323437.5,324390.1
3900,323166,0,323414.1,324369.4
4000,323166,0,323384.1,324369.4
4100,323166,0,323354.1,324369.4
4200,323060,0,323313.5,324369.2
4300,323060,0,323279.5,324369.2
4400,323060,0,323245.5,324369.2
4500,322952,0,323200.7,324354.8
4600,322952,0,323150.0,324354.8
4700,322952,0,323099.3,324354.8
4800,322988,0,323052.2,324351.8
4900,322988,0,323034.4,324351.8
5000,322988,0,323016.6,324351.8
5100,322985,0,322998.5,324351.8
5200,322985,0,322991.0,324351.8
5300,322985,0,322983.5,324351.8
5400,323378,0,323015.3,324348.4
5500,323378,0,323057.9,324348.4
5600,323378,0,323100.5,324348.4
5700,323576,0,323162.9,324348.4
5800,323576,0,323221.7,324348.4
5900,323576,0,323280.5,324348.4
6000,323583,0,323340.0,324348.4
6100,323583,0,323399.8,324348.4
6200,323583,0,323459.6,324348.4
6300,323582,0,323519.3,324348.4
6400,323582,0,323539.7,324348.4
6500,323582,0,323560.1,324348.4
6600,323619,0,323584.2,324348.4
6700,323619,0,323588.5,324348.4
6800,323619,0,323592.8,324348.4
6900,323492,0,323584.4,324348.4
7000,323492,0,323575.3,324348.4
7100,323492,0,323566.2,324348.4
7200,323478,0,323555.7,324348.4
7300,323478,0,323545.3,324348.4
7400,323478,0,323534.9,324348.4
7500,323308,0,323507.5,324348.4
7600,323308,0,323476.4,324348.4
7700,323308,0,323445.3,324348.4
7800,323037,0,323387.1,324348.4
7900,323037,0,323341.6,324348.4
8000,323037,0,323296.1,324348.4
8100,322617,0,323208.6,324324.1
8200,322617,0,323122.5,324324.1
8300,322617,0,323036.4,324324.1
8400,323045,0,322993.1,324320.8
8500,323045,0,322966.8,324320.8
8600,323045,0,322940.5,324320.8
8700,323120,0,322921.7,324320.8
8800,323120,0,322930.0,324320.8
8900,323120,0,322938.3,324320.8
9000,323516,0,322986.2,324320.8
9100,323516,0,323076.1,324320.8
9200,323516,0,323166.0,324320.8
9300,323766,0,323280.9,324320.8
9400,323766,0,323353.0,324320.8
9500,323766,0,323425.1,324320.8
9600,323513,0,323471.9,324320.8
9700,323513,0,323511.2,324320.8
9800,323513,0,323550.5,324320.8
9900,323560,0,323594.5,324320.8
